医院名称,医院等级,医院类型,床位数,地址,电话,省份,建立时间,员工数量,年门诊量,数据来源,更新时间
上海市第5儿童医院,一级甲等,儿童医院,187,上海市西区,032-61933052,上海,2009-06-06,1942,24万人次,医院数据库,2025-06-12 22:43:38
上海市第6综合医院,三级甲等,综合医院,1983,上海市北区,039-72377070,上海,1992-03-09,2177,35万人次,医院数据库,2025-06-12 22:43:38
上海市第7专科医院,二级甲等,专科医院,706,上海市西区,048-91918583,上海,1976-07-01,2944,169万人次,医院数据库,2025-06-12 22:43:38
上海市第8妇产医院,二级甲等,妇产医院,324,上海市南区,034-13145296,上海,2007-09-21,1326,159万人次,医院数据库,2025-06-12 22:43:38
上海市第9专科医院,三级乙等,专科医院,1039,上海市西区,082-37034723,上海,2017-06-26,590,41万人次,医院数据库,2025-06-12 22:43:38
上海市第10心血管医院,二级甲等,心血管医院,509,上海市南区,047-64811376,上海,1973-04-02,861,146万人次,医院数据库,2025-06-12 22:43:38
上海市第11专科医院,三级甲等,专科医院,1602,上海市南区,027-81082414,上海,1958-09-08,1565,54万人次,医院数据库,2025-06-12 22:43:38
上海市第12中医医院,二级甲等,中医医院,585,上海市西区,020-19274959,上海,1994-09-09,2751,195万人次,医院数据库,2025-06-12 22:43:38
上海市第13眼科医院,一级甲等,眼科医院,276,上海市中心区,024-71532742,上海,2009-01-11,526,37万人次,医院数据库,2025-06-12 22:43:38
上海市第14专科医院,一级甲等,专科医院,208,上海市中心区,088-88796836,上海,1998-04-20,2321,115万人次,医院数据库,2025-06-12 22:43:38
上海市第15口腔医院,三级乙等,口腔医院,889,上海市南区,077-25441993,上海,2020-12-01,1274,67万人次,医院数据库,2025-06-12 22:43:38
上海市第16专科医院,二级乙等,专科医院,252,上海市西区,091-48672935,上海,1964-06-21,626,17万人次,医院数据库,2025-06-12 22:43:38
上海市第17精神病医院,一级甲等,精神病医院,173,上海市北区,021-71411155,上海,1982-01-19,296,98万人次,医院数据库,2025-06-12 22:43:38
上海市第18综合医院,三级甲等,综合医院,1297,上海市北区,091-60821041,上海,2008-11-25,130,60万人次,医院数据库,2025-06-12 22:43:38
上海市第19专科医院,二级乙等,专科医院,736,上海市西区,015-35731464,上海,1975-04-03,2841,118万人次,医院数据库,2025-06-12 22:43:38
上海市第20儿童医院,三级甲等,儿童医院,1042,上海市西区,053-85204000,上海,2002-07-01,2192,25万人次,医院数据库,2025-06-12 22:43:38
广东市第1心血管医院,三级甲等,心血管医院,945,广东市南区,017-63411999,广东,1966-04-14,2018,167万人次,医院数据库,2025-06-12 22:43:38
广东市第2专科医院,三级乙等,专科医院,879,广东市西区,074-89643725,广东,2008-02-06,2845,27万人次,医院数据库,2025-06-12 22:43:38
广东市第3肿瘤医院,三级乙等,肿瘤医院,571,广东市南区,028-89030706,广东,1991-11-10,1131,116万人次,医院数据库,2025-06-12 22:43:38
广东市第4儿童医院,三级甲等,儿童医院,1548,广东市中心区,010-62270308,广东,1999-09-20,605,95万人次,医院数据库,2025-06-12 22:43:38
广东市第5综合医院,三级甲等,综合医院,1885,广东市中心区,080-23499728,广东,1978-02-03,1596,105万人次,医院数据库,2025-06-12 22:43:38
广东市第6中医医院,三级甲等,中医医院,1298,广东市西区,081-62307605,广东,1962-07-19,598,68万人次,医院数据库,2025-06-12 22:43:38
广东市第7儿童医院,三级乙等,儿童医院,970,广东市南区,053-57196271,广东,1977-11-15,2687,155万人次,医院数据库,2025-06-12 22:43:38
广东市第8综合医院,一级甲等,综合医院,256,广东市中心区,065-11117747,广东,2014-06-21,927,152万人次,医院数据库,2025-06-12 22:43:38
广东市第9心血管医院,三级乙等,心血管医院,958,广东市西区,049-80437575,广东,2010-06-27,2433,196万人次,医院数据库,2025-06-12 22:43:38
广东市第10心血管医院,三级甲等,心血管医院,969,广东市西区,056-73999970,广东,1995-11-26,1361,31万人次,医院数据库,2025-06-12 22:43:38
广东市第11心血管医院,三级乙等,心血管医院,1145,广东市南区,013-13748366,广东,1967-05-18,1954,171万人次,医院数据库,2025-06-12 22:43:38
广东市第12眼科医院,二级甲等,眼科医院,288,广东市南区,056-22599885,广东,1993-02-18,2271,194万人次,医院数据库,2025-06-12 22:43:38
广东市第13儿童医院,一级甲等,儿童医院,300,广东市西区,036-35719347,广东,1956-09-05,843,116万人次,医院数据库,2025-06-12 22:43:38
广东市第14儿童医院,三级乙等,儿童医院,983,广东市东区,089-75631751,广东,1956-10-22,501,157万人次,医院数据库,2025-06-12 22:43:38
广东市第15妇产医院,二级乙等,妇产医院,727,广东市西区,073-80071295,广东,1979-04-25,2869,67万人次,医院数据库,2025-06-12 22:43:38
广东市第16专科医院,二级乙等,专科医院,694,广东市东区,028-21921444,广东,1988-01-27,213,57万人次,医院数据库,2025-06-12 22:43:38
广东市第17口腔医院,三级甲等,口腔医院,1957,广东市北区,092-60340431,广东,1969-08-26,1588,108万人次,医院数据库,2025-06-12 22:43:38
江苏市第1肿瘤医院,三级甲等,肿瘤医院,1382,江苏市东区,091-74036565,江苏,1968-04-08,237,63万人次,医院数据库,2025-06-12 22:43:38
江苏市第2妇产医院,一级甲等,妇产医院,139,江苏市西区,085-50302472,江苏,2012-11-25,2464,180万人次,医院数据库,2025-06-12 22:43:38
江苏市第3儿童医院,二级乙等,儿童医院,698,江苏市西区,058-86368567,江苏,2018-03-18,151,18万人次,医院数据库,2025-06-12 22:43:38
江苏市第4眼科医院,二级乙等,眼科医院,760,江苏市东区,057-26854621,江苏,1980-01-06,1998,193万人次,医院数据库,2025-06-12 22:43:38
江苏市第5妇产医院,二级甲等,妇产医院,720,江苏市中心区,034-92699833,江苏,1975-10-24,2542,185万人次,医院数据库,2025-06-12 22:43:38
江苏市第6心血管医院,二级乙等,心血管医院,511,江苏市中心区,019-76896087,江苏,2020-07-25,2070,147万人次,医院数据库,2025-06-12 22:43:38
江苏市第7心血管医院,二级乙等,心血管医院,229,江苏市西区,013-93172714,江苏,1979-09-01,1598,166万人次,医院数据库,2025-06-12 22:43:38
江苏市第8肿瘤医院,二级乙等,肿瘤医院,242,江苏市西区,020-57053745,江苏,1974-03-02,1359,175万人次,医院数据库,2025-06-12 22:43:38
江苏市第9眼科医院,二级乙等,眼科医院,656,江苏市中心区,022-40334905,江苏,1958-09-20,2912,132万人次,医院数据库,2025-06-12 22:43:38
江苏市第10心血管医院,二级乙等,心血管医院,354,江苏市南区,012-93446491,江苏,1976-08-01,1812,39万人次,医院数据库,2025-06-12 22:43:38
江苏市第11中医医院,一级甲等,中医医院,62,江苏市北区,076-80804093,江苏,1974-04-16,463,11万人次,医院数据库,2025-06-12 22:43:38
江苏市第12肿瘤医院,三级甲等,肿瘤医院,1486,江苏市东区,034-19039943,江苏,1977-07-11,2736,106万人次,医院数据库,2025-06-12 22:43:38
江苏市第13精神病医院,二级乙等,精神病医院,628,江苏市中心区,019-66611210,江苏,1967-01-10,2235,50万人次,医院数据库,2025-06-12 22:43:38
江苏市第14专科医院,二级甲等,专科医院,747,江苏市北区,070-33670312,江苏,1961-11-06,1339,154万人次,医院数据库,2025-06-12 22:43:38
浙江市第1妇产医院,二级甲等,妇产医院,277,浙江市北区,017-99801261,浙江,1965-05-26,1617,98万人次,医院数据库,2025-06-12 22:43:38
浙江市第2儿童医院,一级甲等,儿童医院,88,浙江市北区,057-72715760,浙江,2005-06-22,2583,71万人次,医院数据库,2025-06-12 22:43:38
浙江市第3妇产医院,三级乙等,妇产医院,1123,浙江市南区,083-21458049,浙江,1966-09-07,1324,147万人次,医院数据库,2025-06-12 22:43:38
浙江市第4妇产医院,一级甲等,妇产医院,122,浙江市东区,050-19749198,浙江,2014-03-05,2443,160万人次,医院数据库,2025-06-12 22:43:38
浙江市第5中医医院,二级乙等,中医医院,732,浙江市东区,087-89610237,浙江,1964-02-11,387,158万人次,医院数据库,2025-06-12 22:43:38
浙江市第6肿瘤医院,三级甲等,肿瘤医院,860,浙江市东区,088-20933055,浙江,1975-11-13,2346,114万人次,医院数据库,2025-06-12 22:43:38
浙江市第7眼科医院,一级甲等,眼科医院,79,浙江市东区,032-28705179,浙江,1999-08-03,103,20万人次,医院数据库,2025-06-12 22:43:38
浙江市第8儿童医院,二级乙等,儿童医院,507,浙江市中心区,098-37933161,浙江,1999-09-24,2705,92万人次,医院数据库,2025-06-12 22:43:38
浙江市第9口腔医院,三级甲等,口腔医院,1449,浙江市北区,079-95182649,浙江,1964-02-04,924,172万人次,医院数据库,2025-06-12 22:43:38
浙江市第10妇产医院,二级乙等,妇产医院,360,浙江市北区,061-40036949,浙江,1963-08-12,2202,32万人次,医院数据库,2025-06-12 22:43:38
浙江市第11眼科医院,三级乙等,眼科医院,630,浙江市西区,090-12241017,浙江,1969-12-03,2385,78万人次,医院数据库,2025-06-12 22:43:38
浙江市第12眼科医院,一级甲等,眼科医院,215,浙江市西区,041-74345296,浙江,1960-06-07,279,83万人次,医院数据库,2025-06-12 22:43:38
浙江市第13妇产医院,二级乙等,妇产医院,616,浙江市南区,072-10556866,浙江,1957-11-26,1319,92万人次,医院数据库,2025-06-12 22:43:38
浙江市第14专科医院,二级乙等,专科医院,320,浙江市南区,082-38648140,浙江,1998-09-01,2353,138万人次,医院数据库,2025-06-12 22:43:38
浙江市第15口腔医院,一级甲等,口腔医院,175,浙江市西区,013-53499191,浙江,2016-07-25,599,55万人次,医院数据库,2025-06-12 22:43:38
浙江市第16专科医院,三级甲等,专科医院,1712,浙江市南区,086-43144375,浙江,1990-11-22,1508,123万人次,医院数据库,2025-06-12 22:43:38
山东市第1口腔医院,三级甲等,口腔医院,968,山东市北区,064-17191748,山东,1997-05-15,2610,130万人次,医院数据库,2025-06-12 22:43:38
山东市第2综合医院,三级乙等,综合医院,764,山东市北区,014-44976323,山东,1964-10-07,2190,23万人次,医院数据库,2025-06-12 22:43:38
山东市第3口腔医院,二级甲等,口腔医院,262,山东市西区,082-30557460,山东,1970-04-04,215,36万人次,医院数据库,2025-06-12 22:43:38
山东市第4心血管医院,一级甲等,心血管医院,252,山东市东区,066-63316181,山东,1953-02-11,2759,71万人次,医院数据库,2025-06-12 22:43:38
山东市第5精神病医院,一级甲等,精神病医院,63,山东市南区,028-59787747,山东,2011-12-19,2112,144万人次,医院数据库,2025-06-12 22:43:38
山东市第6儿童医院,二级甲等,儿童医院,464,山东市东区,013-18300178,山东,1997-06-15,175,188万人次,医院数据库,2025-06-12 22:43:38
山东市第7儿童医院,二级乙等,儿童医院,247,山东市南区,056-34683404,山东,1984-09-15,2459,76万人次,医院数据库,2025-06-12 22:43:38
山东市第8专科医院,二级乙等,专科医院,569,山东市中心区,077-75379863,山东,1975-09-14,1354,11万人次,医院数据库,2025-06-12 22:43:38
山东市第9综合医院,三级甲等,综合医院,914,山东市北区,041-26636241,山东,1963-03-15,1628,167万人次,医院数据库,2025-06-12 22:43:38
山东市第10口腔医院,三级乙等,口腔医院,920,山东市东区,088-52230430,山东,1972-08-24,1629,18万人次,医院数据库,2025-06-12 22:43:38
山东市第11口腔医院,二级甲等,口腔医院,403,山东市南区,012-56261719,山东,1960-11-28,900,132万人次,医院数据库,2025-06-12 22:43:38
山东市第12肿瘤医院,一级甲等,肿瘤医院,221,山东市东区,086-88609152,山东,2016-08-25,1547,188万人次,医院数据库,2025-06-12 22:43:38
山东市第13综合医院,二级乙等,综合医院,530,山东市南区,058-11455330,山东,2000-09-22,1874,194万人次,医院数据库,2025-06-12 22:43:38
山东市第14综合医院,二级乙等,综合医院,646,山东市中心区,043-34697393,山东,2007-02-01,1129,159万人次,医院数据库,2025-06-12 22:43:38
山东市第15肿瘤医院,二级乙等,肿瘤医院,611,山东市北区,086-93787352,山东,1964-12-01,1201,143万人次,医院数据库,2025-06-12 22:43:38
山东市第16肿瘤医院,三级乙等,肿瘤医院,959,山东市东区,057-83993466,山东,2008-09-07,1082,164万人次,医院数据库,2025-06-12 22:43:38
山东市第17眼科医院,三级甲等,眼科医院,1176,山东市南区,030-43263618,山东,2011-10-09,451,45万人次,医院数据库,2025-06-12 22:43:38
山东市第18综合医院,三级甲等,综合医院,1894,山东市东区,065-44043499,山东,2005-05-28,2357,133万人次,医院数据库,2025-06-12 22:43:38
河南市第1眼科医院,一级甲等,眼科医院,177,河南市西区,036-29491047,河南,2012-03-28,312,81万人次,医院数据库,2025-06-12 22:43:38
河南市第2眼科医院,三级甲等,眼科医院,1268,河南市南区,037-86599999,河南,2013-12-19,2318,185万人次,医院数据库,2025-06-12 22:43:38
河南市第3口腔医院,三级乙等,口腔医院,629,河南市北区,083-36556078,河南,1992-07-26,1473,105万人次,医院数据库,2025-06-12 22:43:38
河南市第4精神病医院,一级甲等,精神病医院,237,河南市南区,013-42695667,河南,1997-09-17,698,182万人次,医院数据库,2025-06-12 22:43:38
河南市第5心血管医院,一级甲等,心血管医院,168,河南市南区,017-30121752,河南,1980-11-12,662,67万人次,医院数据库,2025-06-12 22:43:38
河南市第6妇产医院,二级乙等,妇产医院,348,河南市北区,077-74890771,河南,1981-01-17,1518,118万人次,医院数据库,2025-06-12 22:43:38
河南市第7眼科医院,二级乙等,眼科医院,462,河南市中心区,089-62370733,河南,1990-05-25,1665,22万人次,医院数据库,2025-06-12 22:43:38
河南市第8专科医院,三级乙等,专科医院,787,河南市东区,024-13206742,河南,1956-04-18,1572,11万人次,医院数据库,2025-06-12 22:43:38
河南市第9肿瘤医院,二级甲等,肿瘤医院,622,河南市东区,073-64690153,河南,2015-03-14,2648,113万人次,医院数据库,2025-06-12 22:43:38
河南市第10专科医院,三级甲等,专科医院,1125,河南市北区,028-24493725,河南,1954-05-10,1551,134万人次,医院数据库,2025-06-12 22:43:38
河南市第11精神病医院,二级甲等,精神病医院,572,河南市东区,083-80652172,河南,1969-03-17,2750,177万人次,医院数据库,2025-06-12 22:43:38
河南市第12眼科医院,一级甲等,眼科医院,198,河南市南区,069-54121931,河南,1970-05-25,541,190万人次,医院数据库,2025-06-12 22:43:38
四川市第1肿瘤医院,二级甲等,肿瘤医院,227,四川市南区,083-23618709,四川,1953-03-17,1322,184万人次,医院数据库,2025-06-12 22:43:38
四川市第2专科医院,三级甲等,专科医院,920,四川市中心区,077-45485358,四川,1981-03-25,1476,137万人次,医院数据库,2025-06-12 22:43:38
四川市第3眼科医院,一级甲等,眼科医院,104,四川市东区,028-74422381,四川,1973-11-06,2210,47万人次,医院数据库,2025-06-12 22:43:38
四川市第4口腔医院,一级甲等,口腔医院,145,四川市西区,063-15271989,四川,1950-08-20,286,69万人次,医院数据库,2025-06-12 22:43:38
四川市第5专科医院,二级甲等,专科医院,223,四川市南区,022-30075347,四川,1993-12-27,1387,77万人次,医院数据库,2025-06-12 22:43:38
四川市第6中医医院,三级乙等,中医医院,522,四川市西区,056-32413580,四川,1972-11-20,1124,21万人次,医院数据库,2025-06-12 22:43:38
四川市第7肿瘤医院,三级乙等,肿瘤医院,994,四川市南区,060-72441093,四川,1962-05-09,649,74万人次,医院数据库,2025-06-12 22:43:38
四川市第8中医医院,二级乙等,中医医院,224,四川市北区,090-19141160,四川,1990-07-07,206,20万人次,医院数据库,2025-06-12 22:43:38
四川市第9肿瘤医院,一级甲等,肿瘤医院,226,四川市东区,073-15333530,四川,1974-06-01,2263,24万人次,医院数据库,2025-06-12 22:43:38
四川市第10儿童医院,二级乙等,儿童医院,280,四川市南区,043-32147161,四川,2004-11-27,268,108万人次,医院数据库,2025-06-12 22:43:38
四川市第11中医医院,一级甲等,中医医院,87,四川市北区,061-68274742,四川,1987-11-18,1973,25万人次,医院数据库,2025-06-12 22:43:38
四川市第12口腔医院,一级甲等,口腔医院,203,四川市北区,051-99557618,四川,1991-12-06,932,80万人次,医院数据库,2025-06-12 22:43:38
四川市第13心血管医院,三级乙等,心血管医院,817,四川市西区,084-38880659,四川,2009-03-20,1085,191万人次,医院数据库,2025-06-12 22:43:38
四川市第14妇产医院,一级甲等,妇产医院,202,四川市南区,049-37404924,四川,2020-10-03,709,89万人次,医院数据库,2025-06-12 22:43:38
四川市第15妇产医院,二级乙等,妇产医院,703,四川市东区,070-93371627,四川,2002-02-05,1124,49万人次,医院数据库,2025-06-12 22:43:38
四川市第16中医医院,一级甲等,中医医院,249,四川市北区,021-68975572,四川,2016-04-13,1322,56万人次,医院数据库,2025-06-12 22:43:38
四川市第17儿童医院,三级甲等,儿童医院,816,四川市东区,043-38394807,四川,1976-03-15,2161,84万人次,医院数据库,2025-06-12 22:43:38
四川市第18综合医院,三级乙等,综合医院,1004,四川市东区,059-17843582,四川,1980-03-19,2301,70万人次,医院数据库,2025-06-12 22:43:38
湖北市第1妇产医院,三级乙等,妇产医院,840,湖北市中心区,028-10536973,湖北,1983-03-05,2919,158万人次,医院数据库,2025-06-12 22:43:38
湖北市第2儿童医院,二级甲等,儿童医院,316,湖北市西区,089-23936234,湖北,1953-08-14,2665,96万人次,医院数据库,2025-06-12 22:43:38
湖北市第3中医医院,三级甲等,中医医院,1342,湖北市东区,051-69480314,湖北,2009-05-07,2449,171万人次,医院数据库,2025-06-12 22:43:38
湖北市第4眼科医院,三级甲等,眼科医院,1175,湖北市东区,068-36428606,湖北,1999-12-23,1236,28万人次,医院数据库,2025-06-12 22:43:38
湖北市第5中医医院,二级甲等,中医医院,376,湖北市西区,035-40609358,湖北,2015-12-06,2946,13万人次,医院数据库,2025-06-12 22:43:38
湖北市第6妇产医院,二级乙等,妇产医院,785,湖北市北区,062-43403718,湖北,1987-02-12,588,182万人次,医院数据库,2025-06-12 22:43:38
湖北市第7儿童医院,二级乙等,儿童医院,600,湖北市南区,067-54408626,湖北,1993-05-14,2486,18万人次,医院数据库,2025-06-12 22:43:38
湖北市第8综合医院,三级甲等,综合医院,1185,湖北市东区,013-96180278,湖北,2003-09-05,574,33万人次,医院数据库,2025-06-12 22:43:38
湖北市第9中医医院,三级甲等,中医医院,1959,湖北市中心区,087-77957674,湖北,1993-12-08,2639,113万人次,医院数据库,2025-06-12 22:43:38
湖北市第10精神病医院,三级甲等,精神病医院,1110,湖北市北区,070-67579367,湖北,2013-05-07,2103,68万人次,医院数据库,2025-06-12 22:43:38
湖北市第11妇产医院,二级甲等,妇产医院,282,湖北市东区,027-73370951,湖北,1996-12-02,1561,172万人次,医院数据库,2025-06-12 22:43:38
湖北市第12精神病医院,二级甲等,精神病医院,780,湖北市中心区,036-47615183,湖北,1974-09-19,2921,59万人次,医院数据库,2025-06-12 22:43:38
湖北市第13眼科医院,一级甲等,眼科医院,293,湖北市北区,028-83503371,湖北,2004-09-01,1743,180万人次,医院数据库,2025-06-12 22:43:38
湖南市第1专科医院,三级乙等,专科医院,811,湖南市东区,045-89314918,湖南,1951-06-03,2325,61万人次,医院数据库,2025-06-12 22:43:38
湖南市第2心血管医院,一级甲等,心血管医院,284,湖南市北区,052-64668346,湖南,1968-04-03,2794,133万人次,医院数据库,2025-06-12 22:43:38
湖南市第3精神病医院,二级甲等,精神病医院,800,湖南市中心区,016-80880733,湖南,1952-04-02,1999,101万人次,医院数据库,2025-06-12 22:43:38
湖南市第4妇产医院,三级甲等,妇产医院,1350,湖南市南区,022-43751672,湖南,1992-05-05,1156,71万人次,医院数据库,2025-06-12 22:43:38
湖南市第5妇产医院,三级乙等,妇产医院,646,湖南市北区,079-13305229,湖南,1995-03-18,1982,176万人次,医院数据库,2025-06-12 22:43:38
湖南市第6眼科医院,三级乙等,眼科医院,851,湖南市西区,072-46194630,湖南,2011-11-23,1676,100万人次,医院数据库,2025-06-12 22:43:38
湖南市第7心血管医院,三级乙等,心血管医院,590,湖南市南区,057-11232585,湖南,1987-02-03,535,32万人次,医院数据库,2025-06-12 22:43:38
湖南市第8专科医院,二级乙等,专科医院,510,湖南市北区,055-25721532,湖南,1957-02-18,2357,123万人次,医院数据库,2025-06-12 22:43:38
湖南市第9眼科医院,二级乙等,眼科医院,399,湖南市中心区,047-85509182,湖南,1986-12-11,1427,161万人次,医院数据库,2025-06-12 22:43:38
湖南市第10口腔医院,二级乙等,口腔医院,225,湖南市中心区,073-22929733,湖南,1986-10-09,1934,174万人次,医院数据库,2025-06-12 22:43:38
湖南市第11眼科医院,一级甲等,眼科医院,57,湖南市北区,049-24495912,湖南,1977-03-12,2525,27万人次,医院数据库,2025-06-12 22:43:38
湖南市第12妇产医院,二级乙等,妇产医院,429,湖南市东区,077-28362620,湖南,1998-09-02,277,111万人次,医院数据库,2025-06-12 22:43:38
湖南市第13专科医院,一级甲等,专科医院,82,湖南市北区,067-17663488,湖南,2014-02-22,723,44万人次,医院数据库,2025-06-12 22:43:38
湖南市第14眼科医院,三级乙等,眼科医院,976,湖南市中心区,024-92279018,湖南,1990-07-14,2710,115万人次,医院数据库,2025-06-12 22:43:38
安徽市第1专科医院,三级乙等,专科医院,883,安徽市北区,049-63215574,安徽,1968-05-03,1971,47万人次,医院数据库,2025-06-12 22:43:38
安徽市第2肿瘤医院,三级甲等,肿瘤医院,1130,安徽市东区,048-86016749,安徽,2009-04-18,2682,68万人次,医院数据库,2025-06-12 22:43:38
安徽市第3综合医院,二级乙等,综合医院,310,安徽市南区,024-71420499,安徽,1980-11-02,435,125万人次,医院数据库,2025-06-12 22:43:38
安徽市第4眼科医院,三级甲等,眼科医院,1489,安徽市南区,016-90502749,安徽,1984-03-01,1488,46万人次,医院数据库,2025-06-12 22:43:38
安徽市第5综合医院,二级甲等,综合医院,442,安徽市南区,038-73347139,安徽,2017-10-08,910,153万人次,医院数据库,2025-06-12 22:43:38
安徽市第6眼科医院,三级乙等,眼科医院,542,安徽市中心区,068-59945633,安徽,2001-12-02,2818,80万人次,医院数据库,2025-06-12 22:43:38
安徽市第7心血管医院,一级甲等,心血管医院,220,安徽市西区,089-47148302,安徽,2011-12-02,1836,137万人次,医院数据库,2025-06-12 22:43:38
安徽市第8专科医院,一级甲等,专科医院,298,安徽市中心区,097-83111693,安徽,2005-10-05,213,77万人次,医院数据库,2025-06-12 22:43:38
安徽市第9口腔医院,三级甲等,口腔医院,1674,安徽市中心区,072-59341810,安徽,1988-01-14,473,143万人次,医院数据库,2025-06-12 22:43:38
安徽市第10口腔医院,二级甲等,口腔医院,458,安徽市北区,021-36569904,安徽,1981-07-02,949,108万人次,医院数据库,2025-06-12 22:43:38
安徽市第11肿瘤医院,三级甲等,肿瘤医院,858,安徽市东区,048-57342734,安徽,1997-06-16,2991,99万人次,医院数据库,2025-06-12 22:43:38
安徽市第12肿瘤医院,三级乙等,肿瘤医院,1142,安徽市东区,071-60336114,安徽,1957-01-05,699,165万人次,医院数据库,2025-06-12 22:43:38
安徽市第13妇产医院,三级乙等,妇产医院,810,安徽市西区,047-75909338,安徽,2019-04-19,1808,89万人次,医院数据库,2025-06-12 22:43:38
安徽市第14精神病医院,三级甲等,精神病医院,1829,安徽市北区,010-63295422,安徽,1989-11-11,2094,168万人次,医院数据库,2025-06-12 22:43:38
安徽市第15儿童医院,三级甲等,儿童医院,1612,安徽市南区,053-16994133,安徽,2005-10-20,1430,47万人次,医院数据库,2025-06-12 22:43:38
安徽市第16精神病医院,二级乙等,精神病医院,468,安徽市北区,069-16658003,安徽,1974-11-05,347,18万人次,医院数据库,2025-06-12 22:43:38
河北市第1心血管医院,三级乙等,心血管医院,950,河北市北区,071-81173691,河北,1982-02-17,1599,92万人次,医院数据库,2025-06-12 22:43:38
河北市第2心血管医院,二级乙等,心血管医院,688,河北市南区,026-13778809,河北,1973-07-21,2212,50万人次,医院数据库,2025-06-12 22:43:38
河北市第3口腔医院,一级甲等,口腔医院,90,河北市南区,038-24231495,河北,1995-03-21,1496,64万人次,医院数据库,2025-06-12 22:43:38
河北市第4综合医院,三级甲等,综合医院,854,河北市中心区,080-45799661,河北,1993-06-16,1231,71万人次,医院数据库,2025-06-12 22:43:38
河北市第5中医医院,一级甲等,中医医院,161,河北市中心区,014-40060912,河北,1981-04-23,1024,92万人次,医院数据库,2025-06-12 22:43:38
河北市第6心血管医院,二级甲等,心血管医院,290,河北市东区,076-72429929,河北,2015-08-26,1976,123万人次,医院数据库,2025-06-12 22:43:38
河北市第7妇产医院,三级甲等,妇产医院,1471,河北市东区,069-18443114,河北,1991-06-20,1747,87万人次,医院数据库,2025-06-12 22:43:38
河北市第8妇产医院,二级甲等,妇产医院,479,河北市东区,062-76984245,河北,2007-01-12,707,65万人次,医院数据库,2025-06-12 22:43:38
河北市第9精神病医院,二级甲等,精神病医院,286,河北市东区,062-20572747,河北,1961-04-05,1615,200万人次,医院数据库,2025-06-12 22:43:38
