疾病名称,年份,月份,发病人数,死亡人数,治愈人数,病死率,治愈率,数据来源,统计日期,更新时间
恶性肿瘤,2020,9,39728,426,32180,1.07,81.0,疾病监测系统,2020-09-01,2025-06-12 22:43:38
恶性肿瘤,2020,10,6179,19,4575,0.31,74.04,疾病监测系统,2020-10-01,2025-06-12 22:43:38
恶性肿瘤,2020,11,6393,114,5912,1.78,92.48,疾病监测系统,2020-11-01,2025-06-12 22:43:38
恶性肿瘤,2020,12,43164,1398,33177,3.24,76.86,疾病监测系统,2020-12-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,1,21031,365,18119,1.74,86.15,疾病监测系统,2020-01-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,2,32291,382,23848,1.18,73.85,疾病监测系统,2020-02-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,3,4795,49,4024,1.02,83.92,疾病监测系统,2020-03-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,4,37089,681,28657,1.84,77.27,疾病监测系统,2020-04-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,5,5219,32,4130,0.61,79.13,疾病监测系统,2020-05-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,6,47214,409,39353,0.87,83.35,疾病监测系统,2020-06-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,7,41296,1333,35084,3.23,84.96,疾病监测系统,2020-07-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,8,7516,232,7010,3.09,93.27,疾病监测系统,2020-08-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,9,5739,270,4952,4.7,86.29,疾病监测系统,2020-09-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,10,33971,1533,25101,4.51,73.89,疾病监测系统,2020-10-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,11,4766,230,3750,4.83,78.68,疾病监测系统,2020-11-01,2025-06-12 22:43:38
慢性阻塞性肺疾病,2020,12,34513,1589,27850,4.6,80.69,疾病监测系统,2020-12-01,2025-06-12 22:43:38
慢性肾病,2020,1,35016,313,26046,0.89,74.38,疾病监测系统,2020-01-01,2025-06-12 22:43:38
慢性肾病,2020,2,5451,186,4639,3.41,85.1,疾病监测系统,2020-02-01,2025-06-12 22:43:38
慢性肾病,2020,3,3944,139,3687,3.52,93.48,疾病监测系统,2020-03-01,2025-06-12 22:43:38
慢性肾病,2020,4,9608,245,8633,2.55,89.85,疾病监测系统,2020-04-01,2025-06-12 22:43:38
慢性肾病,2020,5,19629,810,17796,4.13,90.66,疾病监测系统,2020-05-01,2025-06-12 22:43:38
慢性肾病,2020,6,7282,204,6282,2.8,86.27,疾病监测系统,2020-06-01,2025-06-12 22:43:38
慢性肾病,2020,7,4770,203,3890,4.26,81.55,疾病监测系统,2020-07-01,2025-06-12 22:43:38
慢性肾病,2020,8,33449,31,26492,0.09,79.2,疾病监测系统,2020-08-01,2025-06-12 22:43:38
慢性肾病,2020,9,1594,62,1352,3.89,84.82,疾病监测系统,2020-09-01,2025-06-12 22:43:38
慢性肾病,2020,10,43273,473,34719,1.09,80.23,疾病监测系统,2020-10-01,2025-06-12 22:43:38
慢性肾病,2020,11,7477,9,6446,0.12,86.21,疾病监测系统,2020-11-01,2025-06-12 22:43:38
慢性肾病,2020,12,40129,1030,32909,2.57,82.01,疾病监测系统,2020-12-01,2025-06-12 22:43:38
肝炎,2020,1,23705,1104,16798,4.66,70.86,疾病监测系统,2020-01-01,2025-06-12 22:43:38
肝炎,2020,2,12462,477,8833,3.83,70.88,疾病监测系统,2020-02-01,2025-06-12 22:43:38
肝炎,2020,3,41219,1540,32381,3.74,78.56,疾病监测系统,2020-03-01,2025-06-12 22:43:38
肝炎,2020,4,1673,24,1536,1.43,91.81,疾病监测系统,2020-04-01,2025-06-12 22:43:38
肝炎,2020,5,13722,554,12909,4.04,94.08,疾病监测系统,2020-05-01,2025-06-12 22:43:38
肝炎,2020,6,46596,1970,38395,4.23,82.4,疾病监测系统,2020-06-01,2025-06-12 22:43:38
肝炎,2020,7,44870,907,39144,2.02,87.24,疾病监测系统,2020-07-01,2025-06-12 22:43:38
肝炎,2020,8,41761,476,38132,1.14,91.31,疾病监测系统,2020-08-01,2025-06-12 22:43:38
肝炎,2020,9,4440,4,4025,0.09,90.65,疾病监测系统,2020-09-01,2025-06-12 22:43:38
肝炎,2020,10,31996,156,26618,0.49,83.19,疾病监测系统,2020-10-01,2025-06-12 22:43:38
肝炎,2020,11,32908,521,25831,1.58,78.49,疾病监测系统,2020-11-01,2025-06-12 22:43:38
肝炎,2020,12,33679,192,24983,0.57,74.18,疾病监测系统,2020-12-01,2025-06-12 22:43:38
肺炎,2020,1,9751,56,8789,0.57,90.13,疾病监测系统,2020-01-01,2025-06-12 22:43:38
肺炎,2020,2,45729,1698,33804,3.71,73.92,疾病监测系统,2020-02-01,2025-06-12 22:43:38
肺炎,2020,3,23429,1040,20373,4.44,86.96,疾病监测系统,2020-03-01,2025-06-12 22:43:38
肺炎,2020,4,32965,736,24983,2.23,75.79,疾病监测系统,2020-04-01,2025-06-12 22:43:38
肺炎,2020,5,39357,1779,32613,4.52,82.86,疾病监测系统,2020-05-01,2025-06-12 22:43:38
肺炎,2020,6,11080,524,10022,4.73,90.45,疾病监测系统,2020-06-01,2025-06-12 22:43:38
肺炎,2020,7,8410,312,7328,3.71,87.13,疾病监测系统,2020-07-01,2025-06-12 22:43:38
肺炎,2020,8,37080,782,29036,2.11,78.31,疾病监测系统,2020-08-01,2025-06-12 22:43:38
肺炎,2020,9,19374,644,16457,3.32,84.94,疾病监测系统,2020-09-01,2025-06-12 22:43:38
肺炎,2020,10,47374,859,43406,1.81,91.62,疾病监测系统,2020-10-01,2025-06-12 22:43:38
肺炎,2020,11,4064,89,3358,2.19,82.63,疾病监测系统,2020-11-01,2025-06-12 22:43:38
肺炎,2020,12,17802,508,16253,2.85,91.3,疾病监测系统,2020-12-01,2025-06-12 22:43:38
胃炎,2020,1,46087,1197,43738,2.6,94.9,疾病监测系统,2020-01-01,2025-06-12 22:43:38
胃炎,2020,2,33741,897,26620,2.66,78.9,疾病监测系统,2020-02-01,2025-06-12 22:43:38
胃炎,2020,3,44284,808,40927,1.82,92.42,疾病监测系统,2020-03-01,2025-06-12 22:43:38
胃炎,2020,4,41404,108,37905,0.26,91.55,疾病监测系统,2020-04-01,2025-06-12 22:43:38
胃炎,2020,5,45282,509,37993,1.12,83.9,疾病监测系统,2020-05-01,2025-06-12 22:43:38
胃炎,2020,6,41923,108,39341,0.26,93.84,疾病监测系统,2020-06-01,2025-06-12 22:43:38
胃炎,2020,7,30202,1177,24953,3.9,82.62,疾病监测系统,2020-07-01,2025-06-12 22:43:38
胃炎,2020,8,48202,730,37763,1.51,78.34,疾病监测系统,2020-08-01,2025-06-12 22:43:38
胃炎,2020,9,11420,162,7996,1.42,70.02,疾病监测系统,2020-09-01,2025-06-12 22:43:38
胃炎,2020,10,40468,1876,36487,4.64,90.16,疾病监测系统,2020-10-01,2025-06-12 22:43:38
胃炎,2020,11,23610,1117,19622,4.73,83.11,疾病监测系统,2020-11-01,2025-06-12 22:43:38
胃炎,2020,12,12286,187,10267,1.52,83.57,疾病监测系统,2020-12-01,2025-06-12 22:43:38
关节炎,2020,1,26262,821,22173,3.13,84.43,疾病监测系统,2020-01-01,2025-06-12 22:43:38
关节炎,2020,2,19076,546,14494,2.86,75.98,疾病监测系统,2020-02-01,2025-06-12 22:43:38
关节炎,2020,3,31351,1467,29463,4.68,93.98,疾病监测系统,2020-03-01,2025-06-12 22:43:38
关节炎,2020,4,26244,239,22917,0.91,87.32,疾病监测系统,2020-04-01,2025-06-12 22:43:38
关节炎,2020,5,29097,1446,22327,4.97,76.73,疾病监测系统,2020-05-01,2025-06-12 22:43:38
关节炎,2020,6,39544,695,29344,1.76,74.21,疾病监测系统,2020-06-01,2025-06-12 22:43:38
关节炎,2020,7,41300,1231,30127,2.98,72.95,疾病监测系统,2020-07-01,2025-06-12 22:43:38
关节炎,2020,8,26613,305,23731,1.15,89.17,疾病监测系统,2020-08-01,2025-06-12 22:43:38
关节炎,2020,9,20048,538,16600,2.68,82.8,疾病监测系统,2020-09-01,2025-06-12 22:43:38
关节炎,2020,10,7401,280,6381,3.78,86.22,疾病监测系统,2020-10-01,2025-06-12 22:43:38
关节炎,2020,11,10830,18,7933,0.17,73.25,疾病监测系统,2020-11-01,2025-06-12 22:43:38
关节炎,2020,12,39748,1339,33836,3.37,85.13,疾病监测系统,2020-12-01,2025-06-12 22:43:38
骨质疏松,2020,1,16342,696,12763,4.26,78.1,疾病监测系统,2020-01-01,2025-06-12 22:43:38
骨质疏松,2020,2,47735,326,43253,0.68,90.61,疾病监测系统,2020-02-01,2025-06-12 22:43:38
骨质疏松,2020,3,9039,251,6355,2.78,70.31,疾病监测系统,2020-03-01,2025-06-12 22:43:38
骨质疏松,2020,4,30750,595,24550,1.93,79.84,疾病监测系统,2020-04-01,2025-06-12 22:43:38
骨质疏松,2020,5,31888,998,29756,3.13,93.31,疾病监测系统,2020-05-01,2025-06-12 22:43:38
骨质疏松,2020,6,31389,831,26844,2.65,85.52,疾病监测系统,2020-06-01,2025-06-12 22:43:38
骨质疏松,2020,7,19987,412,14461,2.06,72.35,疾病监测系统,2020-07-01,2025-06-12 22:43:38
骨质疏松,2020,8,34767,95,28536,0.27,82.08,疾病监测系统,2020-08-01,2025-06-12 22:43:38
骨质疏松,2020,9,18697,398,16400,2.13,87.71,疾病监测系统,2020-09-01,2025-06-12 22:43:38
骨质疏松,2020,10,11308,319,10299,2.82,91.08,疾病监测系统,2020-10-01,2025-06-12 22:43:38
骨质疏松,2020,11,9306,85,7107,0.91,76.37,疾病监测系统,2020-11-01,2025-06-12 22:43:38
骨质疏松,2020,12,34669,171,28437,0.49,82.02,疾病监测系统,2020-12-01,2025-06-12 22:43:38
抑郁症,2020,1,9563,155,7063,1.62,73.86,疾病监测系统,2020-01-01,2025-06-12 22:43:38
抑郁症,2020,2,5511,112,3993,2.03,72.46,疾病监测系统,2020-02-01,2025-06-12 22:43:38
抑郁症,2020,3,37245,530,30379,1.42,81.57,疾病监测系统,2020-03-01,2025-06-12 22:43:38
抑郁症,2020,4,16295,199,12963,1.22,79.55,疾病监测系统,2020-04-01,2025-06-12 22:43:38
抑郁症,2020,5,25650,239,22914,0.93,89.33,疾病监测系统,2020-05-01,2025-06-12 22:43:38
抑郁症,2020,6,47942,104,34764,0.22,72.51,疾病监测系统,2020-06-01,2025-06-12 22:43:38
抑郁症,2020,7,7884,173,6219,2.19,78.88,疾病监测系统,2020-07-01,2025-06-12 22:43:38
抑郁症,2020,8,3491,158,2655,4.53,76.05,疾病监测系统,2020-08-01,2025-06-12 22:43:38
抑郁症,2020,9,41865,2020,37126,4.83,88.68,疾病监测系统,2020-09-01,2025-06-12 22:43:38
抑郁症,2020,10,16651,803,13220,4.82,79.39,疾病监测系统,2020-10-01,2025-06-12 22:43:38
抑郁症,2020,11,6122,6,4388,0.1,71.68,疾病监测系统,2020-11-01,2025-06-12 22:43:38
抑郁症,2020,12,34038,806,30443,2.37,89.44,疾病监测系统,2020-12-01,2025-06-12 22:43:38
焦虑症,2020,1,31992,116,27611,0.36,86.31,疾病监测系统,2020-01-01,2025-06-12 22:43:38
焦虑症,2020,2,32573,1571,29238,4.82,89.76,疾病监测系统,2020-02-01,2025-06-12 22:43:38
焦虑症,2020,3,17427,683,16161,3.92,92.74,疾病监测系统,2020-03-01,2025-06-12 22:43:38
焦虑症,2020,4,5731,162,5195,2.83,90.65,疾病监测系统,2020-04-01,2025-06-12 22:43:38
焦虑症,2020,5,19387,690,16731,3.56,86.3,疾病监测系统,2020-05-01,2025-06-12 22:43:38
焦虑症,2020,6,47237,910,41753,1.93,88.39,疾病监测系统,2020-06-01,2025-06-12 22:43:38
焦虑症,2020,7,26962,439,23493,1.63,87.13,疾病监测系统,2020-07-01,2025-06-12 22:43:38
焦虑症,2020,8,10010,80,7660,0.8,76.52,疾病监测系统,2020-08-01,2025-06-12 22:43:38
焦虑症,2020,9,27100,98,19192,0.36,70.82,疾病监测系统,2020-09-01,2025-06-12 22:43:38
焦虑症,2020,10,15683,492,11764,3.14,75.01,疾病监测系统,2020-10-01,2025-06-12 22:43:38
焦虑症,2020,11,2249,7,2081,0.31,92.53,疾病监测系统,2020-11-01,2025-06-12 22:43:38
焦虑症,2020,12,1705,24,1575,1.41,92.38,疾病监测系统,2020-12-01,2025-06-12 22:43:38
失眠症,2020,1,19909,894,14759,4.49,74.13,疾病监测系统,2020-01-01,2025-06-12 22:43:38
失眠症,2020,2,21539,542,18185,2.52,84.43,疾病监测系统,2020-02-01,2025-06-12 22:43:38
失眠症,2020,3,37166,1279,26285,3.44,70.72,疾病监测系统,2020-03-01,2025-06-12 22:43:38
失眠症,2020,4,16117,579,13420,3.59,83.27,疾病监测系统,2020-04-01,2025-06-12 22:43:38
失眠症,2020,5,41666,1759,31573,4.22,75.78,疾病监测系统,2020-05-01,2025-06-12 22:43:38
失眠症,2020,6,29195,970,27624,3.32,94.62,疾病监测系统,2020-06-01,2025-06-12 22:43:38
失眠症,2020,7,44509,995,31259,2.24,70.23,疾病监测系统,2020-07-01,2025-06-12 22:43:38
失眠症,2020,8,15166,169,11384,1.11,75.06,疾病监测系统,2020-08-01,2025-06-12 22:43:38
失眠症,2020,9,27009,71,25174,0.26,93.21,疾病监测系统,2020-09-01,2025-06-12 22:43:38
失眠症,2020,10,33532,1480,23595,4.41,70.37,疾病监测系统,2020-10-01,2025-06-12 22:43:38
失眠症,2020,11,13198,525,11760,3.98,89.1,疾病监测系统,2020-11-01,2025-06-12 22:43:38
失眠症,2020,12,46431,1699,37925,3.66,81.68,疾病监测系统,2020-12-01,2025-06-12 22:43:38
哮喘,2020,1,14944,67,10966,0.45,73.38,疾病监测系统,2020-01-01,2025-06-12 22:43:38
哮喘,2020,2,1340,65,1079,4.85,80.52,疾病监测系统,2020-02-01,2025-06-12 22:43:38
哮喘,2020,3,36259,691,28042,1.91,77.34,疾病监测系统,2020-03-01,2025-06-12 22:43:38
哮喘,2020,4,23464,971,16490,4.14,70.28,疾病监测系统,2020-04-01,2025-06-12 22:43:38
哮喘,2020,5,44725,1836,32420,4.11,72.49,疾病监测系统,2020-05-01,2025-06-12 22:43:38
哮喘,2020,6,26814,1339,18858,4.99,70.33,疾病监测系统,2020-06-01,2025-06-12 22:43:38
哮喘,2020,7,1084,38,1017,3.51,93.82,疾病监测系统,2020-07-01,2025-06-12 22:43:38
哮喘,2020,8,35540,1646,32062,4.63,90.21,疾病监测系统,2020-08-01,2025-06-12 22:43:38
哮喘,2020,9,15532,293,13379,1.89,86.14,疾病监测系统,2020-09-01,2025-06-12 22:43:38
哮喘,2020,10,16105,429,14326,2.66,88.95,疾病监测系统,2020-10-01,2025-06-12 22:43:38
哮喘,2020,11,45794,1600,34170,3.49,74.62,疾病监测系统,2020-11-01,2025-06-12 22:43:38
哮喘,2020,12,4376,52,3796,1.19,86.75,疾病监测系统,2020-12-01,2025-06-12 22:43:38
过敏性鼻炎,2020,1,48901,2222,36235,4.54,74.1,疾病监测系统,2020-01-01,2025-06-12 22:43:38
过敏性鼻炎,2020,2,24366,422,22408,1.73,91.96,疾病监测系统,2020-02-01,2025-06-12 22:43:38
过敏性鼻炎,2020,3,2357,73,1763,3.1,74.8,疾病监测系统,2020-03-01,2025-06-12 22:43:38
过敏性鼻炎,2020,4,29976,1151,23350,3.84,77.9,疾病监测系统,2020-04-01,2025-06-12 22:43:38
过敏性鼻炎,2020,5,19664,754,15393,3.83,78.28,疾病监测系统,2020-05-01,2025-06-12 22:43:38
过敏性鼻炎,2020,6,39505,1727,37131,4.37,93.99,疾病监测系统,2020-06-01,2025-06-12 22:43:38
过敏性鼻炎,2020,7,31700,1187,23624,3.74,74.52,疾病监测系统,2020-07-01,2025-06-12 22:43:38
过敏性鼻炎,2020,8,32290,355,29393,1.1,91.03,疾病监测系统,2020-08-01,2025-06-12 22:43:38
过敏性鼻炎,2020,9,43901,734,33511,1.67,76.33,疾病监测系统,2020-09-01,2025-06-12 22:43:38
过敏性鼻炎,2020,10,42117,1003,32085,2.38,76.18,疾病监测系统,2020-10-01,2025-06-12 22:43:38
过敏性鼻炎,2020,11,2401,116,2201,4.83,91.67,疾病监测系统,2020-11-01,2025-06-12 22:43:38
过敏性鼻炎,2020,12,25244,485,20163,1.92,79.87,疾病监测系统,2020-12-01,2025-06-12 22:43:38
湿疹,2020,1,9818,120,7627,1.22,77.68,疾病监测系统,2020-01-01,2025-06-12 22:43:38
湿疹,2020,2,11463,333,8025,2.9,70.01,疾病监测系统,2020-02-01,2025-06-12 22:43:38
湿疹,2020,3,12084,518,9364,4.29,77.49,疾病监测系统,2020-03-01,2025-06-12 22:43:38
湿疹,2020,4,23560,287,21194,1.22,89.96,疾病监测系统,2020-04-01,2025-06-12 22:43:38
湿疹,2020,5,17439,781,14116,4.48,80.95,疾病监测系统,2020-05-01,2025-06-12 22:43:38
湿疹,2020,6,7831,324,5719,4.14,73.03,疾病监测系统,2020-06-01,2025-06-12 22:43:38
湿疹,2020,7,15781,328,14499,2.08,91.88,疾病监测系统,2020-07-01,2025-06-12 22:43:38
湿疹,2020,8,46608,1742,34058,3.74,73.07,疾病监测系统,2020-08-01,2025-06-12 22:43:38
湿疹,2020,9,1536,22,1230,1.43,80.08,疾病监测系统,2020-09-01,2025-06-12 22:43:38
湿疹,2020,10,22096,501,20873,2.27,94.47,疾病监测系统,2020-10-01,2025-06-12 22:43:38
湿疹,2020,11,4243,70,3342,1.65,78.77,疾病监测系统,2020-11-01,2025-06-12 22:43:38
湿疹,2020,12,36452,767,27688,2.1,75.96,疾病监测系统,2020-12-01,2025-06-12 22:43:38
白内障,2020,1,46523,1378,39699,2.96,85.33,疾病监测系统,2020-01-01,2025-06-12 22:43:38
白内障,2020,2,5437,138,4638,2.54,85.3,疾病监测系统,2020-02-01,2025-06-12 22:43:38
白内障,2020,3,13500,377,11873,2.79,87.95,疾病监测系统,2020-03-01,2025-06-12 22:43:38
白内障,2020,4,18676,275,14828,1.47,79.4,疾病监测系统,2020-04-01,2025-06-12 22:43:38
白内障,2020,5,24459,1120,20197,4.58,82.57,疾病监测系统,2020-05-01,2025-06-12 22:43:38
白内障,2020,6,4651,207,4310,4.45,92.67,疾病监测系统,2020-06-01,2025-06-12 22:43:38
白内障,2020,7,35719,1175,26446,3.29,74.04,疾病监测系统,2020-07-01,2025-06-12 22:43:38
白内障,2020,8,48551,1217,43940,2.51,90.5,疾病监测系统,2020-08-01,2025-06-12 22:43:38
白内障,2020,9,49722,497,36021,1.0,72.44,疾病监测系统,2020-09-01,2025-06-12 22:43:38
白内障,2020,10,42989,2149,35935,5.0,83.59,疾病监测系统,2020-10-01,2025-06-12 22:43:38
白内障,2020,11,39311,1444,31614,3.67,80.42,疾病监测系统,2020-11-01,2025-06-12 22:43:38
白内障,2020,12,3015,27,2664,0.9,88.36,疾病监测系统,2020-12-01,2025-06-12 22:43:38
青光眼,2020,1,41767,1038,32365,2.49,77.49,疾病监测系统,2020-01-01,2025-06-12 22:43:38
青光眼,2020,2,40676,1869,37002,4.59,90.97,疾病监测系统,2020-02-01,2025-06-12 22:43:38
青光眼,2020,3,7893,369,6168,4.68,78.15,疾病监测系统,2020-03-01,2025-06-12 22:43:38
青光眼,2020,4,33294,976,31572,2.93,94.83,疾病监测系统,2020-04-01,2025-06-12 22:43:38
青光眼,2020,5,30023,335,22308,1.12,74.3,疾病监测系统,2020-05-01,2025-06-12 22:43:38
青光眼,2020,6,34187,879,26188,2.57,76.6,疾病监测系统,2020-06-01,2025-06-12 22:43:38
青光眼,2020,7,42001,737,33044,1.75,78.67,疾病监测系统,2020-07-01,2025-06-12 22:43:38
青光眼,2020,8,31830,1367,25918,4.29,81.43,疾病监测系统,2020-08-01,2025-06-12 22:43:38
青光眼,2020,9,22634,804,18401,3.55,81.3,疾病监测系统,2020-09-01,2025-06-12 22:43:38
青光眼,2020,10,15183,33,13646,0.22,89.88,疾病监测系统,2020-10-01,2025-06-12 22:43:38
青光眼,2020,11,49873,954,42007,1.91,84.23,疾病监测系统,2020-11-01,2025-06-12 22:43:38
青光眼,2020,12,38761,1698,28706,4.38,74.06,疾病监测系统,2020-12-01,2025-06-12 22:43:38
近视,2020,1,9888,485,6932,4.9,70.11,疾病监测系统,2020-01-01,2025-06-12 22:43:38
近视,2020,2,34191,400,24626,1.17,72.02,疾病监测系统,2020-02-01,2025-06-12 22:43:38
近视,2020,3,25637,607,18426,2.37,71.87,疾病监测系统,2020-03-01,2025-06-12 22:43:38
近视,2020,4,43391,979,31650,2.26,72.94,疾病监测系统,2020-04-01,2025-06-12 22:43:38
近视,2020,5,20624,424,18031,2.06,87.43,疾病监测系统,2020-05-01,2025-06-12 22:43:38
近视,2020,6,9187,329,6674,3.58,72.65,疾病监测系统,2020-06-01,2025-06-12 22:43:38
近视,2020,7,20533,706,16885,3.44,82.23,疾病监测系统,2020-07-01,2025-06-12 22:43:38
近视,2020,8,1540,45,1294,2.92,84.03,疾病监测系统,2020-08-01,2025-06-12 22:43:38
近视,2020,9,38435,5,32244,0.01,83.89,疾病监测系统,2020-09-01,2025-06-12 22:43:38
近视,2020,10,19699,162,17737,0.82,90.04,疾病监测系统,2020-10-01,2025-06-12 22:43:38
近视,2020,11,4545,129,3799,2.84,83.59,疾病监测系统,2020-11-01,2025-06-12 22:43:38
