医院名称,医院等级,医院类型,床位数,地址,电话,省份,建立时间,员工数量,年门诊量,数据来源,更新时间,疾病名称,年份,月份,发病人数,死亡人数,治愈人数,病死率,治愈率,统计日期,政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,研究标题,研究领域,研究类型,发表期刊,发表年份,发表月份,影响因子,样本量,研究机构,第一作者,通讯作者,基金支持,关键词
浙江市第2儿童医院,一级甲等,儿童医院,88.0,浙江市北区,057-72715760,浙江,2005-06-22,2583.0,71万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第3妇产医院,三级乙等,妇产医院,1123.0,浙江市南区,083-21458049,浙江,1966-09-07,1324.0,147万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第4妇产医院,一级甲等,妇产医院,122.0,浙江市东区,050-19749198,浙江,2014-03-05,2443.0,160万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第5中医医院,二级乙等,中医医院,732.0,浙江市东区,087-89610237,浙江,1964-02-11,387.0,158万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第6肿瘤医院,三级甲等,肿瘤医院,860.0,浙江市东区,088-20933055,浙江,1975-11-13,2346.0,114万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第7眼科医院,一级甲等,眼科医院,79.0,浙江市东区,032-28705179,浙江,1999-08-03,103.0,20万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第8儿童医院,二级乙等,儿童医院,507.0,浙江市中心区,098-37933161,浙江,1999-09-24,2705.0,92万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第9口腔医院,三级甲等,口腔医院,1449.0,浙江市北区,079-95182649,浙江,1964-02-04,924.0,172万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第10妇产医院,二级乙等,妇产医院,360.0,浙江市北区,061-40036949,浙江,1963-08-12,2202.0,32万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第11眼科医院,三级乙等,眼科医院,630.0,浙江市西区,090-12241017,浙江,1969-12-03,2385.0,78万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第12眼科医院,一级甲等,眼科医院,215.0,浙江市西区,041-74345296,浙江,1960-06-07,279.0,83万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第13妇产医院,二级乙等,妇产医院,616.0,浙江市南区,072-10556866,浙江,1957-11-26,1319.0,92万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第14专科医院,二级乙等,专科医院,320.0,浙江市南区,082-38648140,浙江,1998-09-01,2353.0,138万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第15口腔医院,一级甲等,口腔医院,175.0,浙江市西区,013-53499191,浙江,2016-07-25,599.0,55万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第16专科医院,三级甲等,专科医院,1712.0,浙江市南区,086-43144375,浙江,1990-11-22,1508.0,123万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第1口腔医院,三级甲等,口腔医院,968.0,山东市北区,064-17191748,山东,1997-05-15,2610.0,130万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第2综合医院,三级乙等,综合医院,764.0,山东市北区,014-44976323,山东,1964-10-07,2190.0,23万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第3口腔医院,二级甲等,口腔医院,262.0,山东市西区,082-30557460,山东,1970-04-04,215.0,36万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第4心血管医院,一级甲等,心血管医院,252.0,山东市东区,066-63316181,山东,1953-02-11,2759.0,71万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第5精神病医院,一级甲等,精神病医院,63.0,山东市南区,028-59787747,山东,2011-12-19,2112.0,144万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第6儿童医院,二级甲等,儿童医院,464.0,山东市东区,013-18300178,山东,1997-06-15,175.0,188万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第7儿童医院,二级乙等,儿童医院,247.0,山东市南区,056-34683404,山东,1984-09-15,2459.0,76万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第8专科医院,二级乙等,专科医院,569.0,山东市中心区,077-75379863,山东,1975-09-14,1354.0,11万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第9综合医院,三级甲等,综合医院,914.0,山东市北区,041-26636241,山东,1963-03-15,1628.0,167万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第10口腔医院,三级乙等,口腔医院,920.0,山东市东区,088-52230430,山东,1972-08-24,1629.0,18万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第11口腔医院,二级甲等,口腔医院,403.0,山东市南区,012-56261719,山东,1960-11-28,900.0,132万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第12肿瘤医院,一级甲等,肿瘤医院,221.0,山东市东区,086-88609152,山东,2016-08-25,1547.0,188万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第13综合医院,二级乙等,综合医院,530.0,山东市南区,058-11455330,山东,2000-09-22,1874.0,194万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第14综合医院,二级乙等,综合医院,646.0,山东市中心区,043-34697393,山东,2007-02-01,1129.0,159万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第15肿瘤医院,二级乙等,肿瘤医院,611.0,山东市北区,086-93787352,山东,1964-12-01,1201.0,143万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第16肿瘤医院,三级乙等,肿瘤医院,959.0,山东市东区,057-83993466,山东,2008-09-07,1082.0,164万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第17眼科医院,三级甲等,眼科医院,1176.0,山东市南区,030-43263618,山东,2011-10-09,451.0,45万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东市第18综合医院,三级甲等,综合医院,1894.0,山东市东区,065-44043499,山东,2005-05-28,2357.0,133万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第1眼科医院,一级甲等,眼科医院,177.0,河南市西区,036-29491047,河南,2012-03-28,312.0,81万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第2眼科医院,三级甲等,眼科医院,1268.0,河南市南区,037-86599999,河南,2013-12-19,2318.0,185万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第3口腔医院,三级乙等,口腔医院,629.0,河南市北区,083-36556078,河南,1992-07-26,1473.0,105万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第4精神病医院,一级甲等,精神病医院,237.0,河南市南区,013-42695667,河南,1997-09-17,698.0,182万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第5心血管医院,一级甲等,心血管医院,168.0,河南市南区,017-30121752,河南,1980-11-12,662.0,67万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第6妇产医院,二级乙等,妇产医院,348.0,河南市北区,077-74890771,河南,1981-01-17,1518.0,118万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第7眼科医院,二级乙等,眼科医院,462.0,河南市中心区,089-62370733,河南,1990-05-25,1665.0,22万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第8专科医院,三级乙等,专科医院,787.0,河南市东区,024-13206742,河南,1956-04-18,1572.0,11万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第9肿瘤医院,二级甲等,肿瘤医院,622.0,河南市东区,073-64690153,河南,2015-03-14,2648.0,113万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第10专科医院,三级甲等,专科医院,1125.0,河南市北区,028-24493725,河南,1954-05-10,1551.0,134万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第11精神病医院,二级甲等,精神病医院,572.0,河南市东区,083-80652172,河南,1969-03-17,2750.0,177万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南市第12眼科医院,一级甲等,眼科医院,198.0,河南市南区,069-54121931,河南,1970-05-25,541.0,190万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第1肿瘤医院,二级甲等,肿瘤医院,227.0,四川市南区,083-23618709,四川,1953-03-17,1322.0,184万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第2专科医院,三级甲等,专科医院,920.0,四川市中心区,077-45485358,四川,1981-03-25,1476.0,137万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第3眼科医院,一级甲等,眼科医院,104.0,四川市东区,028-74422381,四川,1973-11-06,2210.0,47万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第4口腔医院,一级甲等,口腔医院,145.0,四川市西区,063-15271989,四川,1950-08-20,286.0,69万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第5专科医院,二级甲等,专科医院,223.0,四川市南区,022-30075347,四川,1993-12-27,1387.0,77万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第6中医医院,三级乙等,中医医院,522.0,四川市西区,056-32413580,四川,1972-11-20,1124.0,21万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第7肿瘤医院,三级乙等,肿瘤医院,994.0,四川市南区,060-72441093,四川,1962-05-09,649.0,74万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第8中医医院,二级乙等,中医医院,224.0,四川市北区,090-19141160,四川,1990-07-07,206.0,20万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第9肿瘤医院,一级甲等,肿瘤医院,226.0,四川市东区,073-15333530,四川,1974-06-01,2263.0,24万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川市第10儿童医院,二级乙等,儿童医院,280.0,四川市南区,043-32147161,四川,2004-11-27,268.0,108万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
